day_cnt,Close Price
1308,359
1311,359.45
1312,361.1
1313,359.9
1314,363
1315,355.65
1318,357.4
1319,364.6
1320,353.05
1321,356.45
1325,363.7
1326,369.25
1327,366.65
1328,364.2
1329,357.05
1332,358.65
1333,356.6
1334,358.55
1335,356.1
1339,365.25
1340,363.4
1341,376.1
1342,379.05
1343,370.3
1346,374.7
1347,380.65
1348,373.65
1349,360.75
1350,357.7
1353,351.85
1354,344.45
1355,339.35
1356,344.9
1357,345.8
1360,343
1361,335.15
1362,351.35
1363,346.75
1364,348.1
1367,343.5
1368,341.35
1369,344.6
1375,341.55
1376,341.7
1377,343.35
1378,335.25
1381,340.8
1382,344.2
1384,348.6
1385,350.65
1388,361.3
1389,355.05
1390,353.05
1391,352.3
1395,356.5
1396,356.65
1397,358.8
1398,359.9
1399,370.55
1402,359.2
1404,349.1
1406,344.55
1409,349.1
1410,345.6
1411,345.9
1412,347.1
1413,356.3
1416,354.1
1417,352.6
1418,347.05
1419,346.75
1420,346.9
1423,347.3
1424,348.05
1425,349.55
1426,349.15
1427,355
1430,353.8
1431,355.75
1432,357.1
1433,355.85
1434,356.55
1437,364.6
1438,360.95
1439,360.05
1440,363.7
1441,364.35
1444,377.05
1445,366.75
1446,367.25
1447,367.55
1448,376
1451,390.35
1452,383.65
1453,376.85
1455,378.35
1458,386.9
1459,382.55
1460,383.85
1461,380.05
1462,381.75
1465,380.25
1466,379.95
1467,374.7
1468,379.45
1469,375.05
1472,357.85
1473,361.2
1474,363.2
1475,368.45
1476,379.05
1479,379.2
1480,382.3
1481,391.85
1482,396.4
1483,394.7
1487,382.65
1488,383.8
1489,374.95
1490,360.85
1493,355.1
1494,356.65
1495,366.05
1496,369.9
1497,364
1500,360.65
1501,368.15
1502,372.1
1503,368.75
1504,377.85
1507,377.05
1509,380.35
1510,383.95
1511,382.75
1514,384.2
1515,384.2
1516,386.6
1517,384.35
1518,395.25
1519,393.95
1521,394.75
1522,379.65
1523,371.55
1524,363.95
1528,357.3
1529,370.7
1530,369.3
1531,364.7
1532,365.1
1535,364.4
1536,361.8
1537,364.55
1538,365.35
1539,368.25
1542,369
1543,370.05
1544,361.8
1545,352.3
1546,348
1549,359.3
1550,362.9
1551,363
1556,360.75
1557,359.6
1558,380.35
1559,386.95
1560,389
1563,392.35
1565,385.95
1566,383.65
1567,380.4
1570,372.05
1571,374.4
1572,379.2
1573,384.25
1574,376.25
1577,377.65
1578,372.4
1579,370.95
1580,362.75
1584,369.8
1585,364.4
1586,353.1
1587,360.8
1588,363.7
1591,371.95
1592,369.2
1593,368.95
1594,370.2
1595,366.9
1598,366.1
1599,363.65
1600,361.35
